Date, Close/Last, Volume, Open, High, Low
01/31/2019, $339.5, 8493725, $339.68, $345.99, $338.0919
01/30/2019, $340.66, 9081266, $332.75, $341.78, $330.8
01/29/2019, $328.9, 7619808, $335.87, $338.22, $328.151
01/28/2019, $335.66, 8639403, $334.7, $336.3, $328.88
01/25/2019, $338.05, 11147040, $328.72, $340, $328.51
01/24/2019, $326.67, 11115040, $320.6, $331.8, $319
01/23/2019, $321.99, 13456260, $328.25, $331.75, $318.6
01/22/2019, $325.16, 17909440, $334.89, $336.88, $321.03
01/18/2019, $339.1, 26583340, $351.97, $353, $336.73
01/17/2019, $353.19, 18238350, $349.5, $355.79, $346.41
01/16/2019, $351.39, 15345670, $354, $358.85, $348.11
01/15/2019, $354.64, 21133450, $349.6, $357.22, $347
01/14/2019, $332.94, 10460420, $334.24, $335.48, $329.13
01/11/2019, $337.59, 19458690, $330.96, $341.09, $328.52
01/10/2019, $324.66, 13398180, $314.57, $325.37, $312.5
01/09/2019, $319.96, 13307980, $317.71, $323.3508, $313.5
01/08/2019, $320.27, 15279550, $319.98, $320.593, $308.01
01/07/2019, $315.34, 18586260, $302.1, $316.8, $301.65
01/04/2019, $297.57, 19299450, $281.88, $297.8, $278.54
01/03/2019, $271.2, 14946970, $270.2, $275.79, $264.43
01/02/2019, $267.66, 11612970, $259.28, $269.7499, $256.58
12/31/2018, $267.66, 13496880, $260.16, $270.1001, $260
12/28/2018, $256.08, 10972920, $257.94, $261.9144, $249.8
12/27/2018, $255.565, 12124430, $250.11, $255.59, $240.1
12/26/2018, $253.67, 14203700, $233.92, $254.5, $231.23
12/24/2018, $233.88, 9547616, $242, $250.65, $233.68
12/21/2018, $246.39, 21359330, $263.83, $264.5, $241.29
12/20/2018, $260.58, 16769340, $264.64, $269.9, $251.88
12/19/2018, $266.77, 13767940, $269.96, $280.87, $263.77
12/18/2018, $270.94, 10330450, $263.3, $275.75, $263.29
12/17/2018, $262.8, 9616301, $266.51, $272.98, $261.075
12/14/2018, $266.84, 9908930, $271.81, $277.6665, $265
12/13/2018, $276.02, 8373219, $277.64, $279.32, $271.85
12/12/2018, $274.88, 11439180, $267.66, $281.7695, $266.48
12/11/2018, $265.32, 9823745, $274.08, $274.5, $262.76
12/10/2018, $269.7, 9582549, $264.19, $271.18, $260.6094
12/07/2018, $265.14, 12454720, $282.48, $284.209, $263.38
12/06/2018, $282.88, 13043830, $268.33, $283.22, $267.14
12/04/2018, $275.33, 12762320, $288.13, $295.74, $274.72
12/03/2018, $290.3, 14098100, $293.19, $298.72, $284.58
11/30/2018, $286.13, 11835670, $288, $290.81, $283.061
11/29/2018, $288.75, 15016520, $282.32, $290.49, $275.5
11/28/2018, $282.65, 14773990, $271.98, $284, $263.34
11/27/2018, $266.63, 10956480, $259.24, $269.08, $256.14
11/26/2018, $261.43, 12490330, $260.55, $266.25, $253.8
11/23/2018, $258.82, 5245123, $260.11, $265.5, $256.84
11/21/2018, $262.13, 11014290, $274.42, $275.34, $261.51
11/20/2018, $266.98, 16676540, $254.63, $276.34, $250
11/19/2018, $270.6, 12486920, $283.79, $285.09, $269.15
11/16/2018, $286.21, 9084589, $287.14, $291.72, $281
11/15/2018, $290.06, 9874546, $285.51, $292.5, $282.16
